Kanji,Hiragana,Nghĩa
医者,いしゃ,Bác sĩ
看護師,かんごし,Y tá
教師,きょうし,Giáo viên
学生,がくせい,"Học sinh, sinh viên"
会社員,かいしゃいん,Nhân viên công ty
公務員,こうむいん,Công chức
弁護士,べんごし,Luật sư
警察官,けいさつかん,Cảnh sát
消防士,しょうぼうし,Lính cứu hỏa
運転手,うんてんしゅ,Tài xế
農家,のうか,Nông dân
漁師,りょうし,Ngư dân
大工,だいく,Thợ mộc
美容師,びようし,Thợ làm tóc
料理人,りょうりにん,Đầu bếp
店員,てんいん,Nhân viên bán hàng
技術者,ぎじゅつしゃ,Kỹ sư
建築家,けんちくか,Kiến trúc sư
画家,がか,Họa sĩ
写真家,しゃしんか,Nhiếp ảnh gia
俳優,はいゆう,Diễn viên
歌手,かしゅ,Ca sĩ
作家,さっか,"Tác giả, nhà văn"
通訳,つうやく,Phiên dịch
翻訳者,ほんやくしゃ,Biên dịch
